episode: 247 | reward: -20.0 | mean_reward: -19.86 | epsilon: 0.75 | speed: 94.75 frames/s
episode: 248 | reward: -19.0 | mean_reward: -19.84 | epsilon: 0.75 | speed: 95.32 frames/s
episode: 249 | reward: -19.0 | mean_reward: -19.86 | epsilon: 0.75 | speed: 95.54 frames/s
episode: 250 | reward: -18.0 | mean_reward: -19.84 | epsilon: 0.75 | speed: 94.55 frames/s
episode: 251 | reward: -21.0 | mean_reward: -19.84 | epsilon: 0.75 | speed: 95.26 frames/s
episode: 252 | reward: -21.0 | mean_reward: -19.84 | epsilon: 0.75 | speed: 94.50 frames/s
episode: 253 | reward: -21.0 | mean_reward: -19.85 | epsilon: 0.75 | speed: 96.45 frames/s
episode: 254 | reward: -21.0 | mean_reward: -19.85 | epsilon: 0.74 | speed: 94.96 frames/s
episode: 255 | reward: -18.0 | mean_reward: -19.86 | epsilon: 0.74 | speed: 95.35 frames/s
episode: 256 | reward: -20.0 | mean_reward: -19.87 | epsilon: 0.74 | speed: 95.75 frames/s
episode: 257 | reward: -21.0 | mean_reward: -19.87 | epsilon: 0.74 | speed: 94.25 frames/s
episode: 258 | reward: -18.0 | mean_reward: -19.85 | epsilon: 0.74 | speed: 95.44 frames/s
episode: 259 | reward: -18.0 | mean_reward: -19.83 | epsilon: 0.74 | speed: 95.71 frames/s
episode: 260 | reward: -21.0 | mean_reward: -19.85 | epsilon: 0.74 | speed: 93.96 frames/s
episode: 261 | reward: -20.0 | mean_reward: -19.87 | epsilon: 0.74 | speed: 94.89 frames/s
episode: 262 | reward: -17.0 | mean_reward: -19.86 | epsilon: 0.73 | speed: 95.10 frames/s
episode: 263 | reward: -19.0 | mean_reward: -19.84 | epsilon: 0.73 | speed: 94.72 frames/s
episode: 264 | reward: -20.0 | mean_reward: -19.84 | epsilon: 0.73 | speed: 95.46 frames/s
episode: 265 | reward: -18.0 | mean_reward: -19.82 | epsilon: 0.73 | speed: 95.44 frames/s
episode: 266 | reward: -20.0 | mean_reward: -19.82 | epsilon: 0.73 | speed: 94.86 frames/s
episode: 267 | reward: -19.0 | mean_reward: -19.83 | epsilon: 0.73 | speed: 95.13 frames/s
episode: 268 | reward: -21.0 | mean_reward: -19.83 | epsilon: 0.73 | speed: 94.58 frames/s
episode: 269 | reward: -18.0 | mean_reward: -19.81 | epsilon: 0.73 | speed: 96.11 frames/s
