episode: 235 | reward: -20.0 | mean_reward: -19.51 | epsilon: 0.77 | speed: 75.24 frames/s
episode: 236 | reward: -21.0 | mean_reward: -19.52 | epsilon: 0.77 | speed: 75.89 frames/s
episode: 237 | reward: -19.0 | mean_reward: -19.54 | epsilon: 0.77 | speed: 76.91 frames/s
episode: 238 | reward: -21.0 | mean_reward: -19.55 | epsilon: 0.77 | speed: 77.13 frames/s
episode: 239 | reward: -19.0 | mean_reward: -19.55 | epsilon: 0.77 | speed: 81.46 frames/s
episode: 240 | reward: -18.0 | mean_reward: -19.54 | epsilon: 0.76 | speed: 76.71 frames/s
episode: 241 | reward: -20.0 | mean_reward: -19.53 | epsilon: 0.76 | speed: 76.70 frames/s
episode: 242 | reward: -20.0 | mean_reward: -19.52 | epsilon: 0.76 | speed: 76.32 frames/s
episode: 243 | reward: -20.0 | mean_reward: -19.55 | epsilon: 0.76 | speed: 76.01 frames/s
episode: 244 | reward: -20.0 | mean_reward: -19.54 | epsilon: 0.76 | speed: 77.24 frames/s
episode: 245 | reward: -19.0 | mean_reward: -19.56 | epsilon: 0.76 | speed: 76.09 frames/s
episode: 246 | reward: -17.0 | mean_reward: -19.53 | epsilon: 0.76 | speed: 75.98 frames/s
episode: 247 | reward: -20.0 | mean_reward: -19.54 | epsilon: 0.76 | speed: 76.24 frames/s
episode: 248 | reward: -19.0 | mean_reward: -19.54 | epsilon: 0.76 | speed: 73.90 frames/s
episode: 249 | reward: -20.0 | mean_reward: -19.54 | epsilon: 0.75 | speed: 75.96 frames/s
episode: 250 | reward: -21.0 | mean_reward: -19.57 | epsilon: 0.75 | speed: 77.52 frames/s
episode: 251 | reward: -19.0 | mean_reward: -19.56 | epsilon: 0.75 | speed: 78.71 frames/s
episode: 252 | reward: -19.0 | mean_reward: -19.55 | epsilon: 0.75 | speed: 78.99 frames/s
episode: 253 | reward: -21.0 | mean_reward: -19.57 | epsilon: 0.75 | speed: 77.08 frames/s
episode: 254 | reward: -21.0 | mean_reward: -19.59 | epsilon: 0.75 | speed: 73.98 frames/s
episode: 255 | reward: -18.0 | mean_reward: -19.59 | epsilon: 0.75 | speed: 77.24 frames/s
episode: 256 | reward: -20.0 | mean_reward: -19.59 | epsilon: 0.75 | speed: 77.39 frames/s
episode: 257 | reward: -20.0 | mean_reward: -19.59 | epsilon: 0.75 | speed: 76.48 frames/s
episode: 258 | reward: -21.0 | mean_reward: -19.61 | epsilon: 0.74 | speed: 79.74 frames/s
episode: 259 | reward: -19.0 | mean_reward: -19.61 | epsilon: 0.74 | speed: 82.75 frames/s
episode: 260 | reward: -20.0 | mean_reward: -19.60 | epsilon: 0.74 | speed: 83.46 frames/s
episode: 261 | reward: -21.0 | mean_reward: -19.60 | epsilon: 0.74 | speed: 83.48 frames/s
episode: 262 | reward: -19.0 | mean_reward: -19.59 | epsilon: 0.74 | speed: 82.73 frames/s
episode: 263 | reward: -20.0 | mean_reward: -19.59 | epsilon: 0.74 | speed: 83.02 frames/s
episode: 264 | reward: -20.0 | mean_reward: -19.58 | epsilon: 0.74 | speed: 83.84 frames/s
